level1,level2,site_sys,estimate,std.error,df,z.ratio,p.value,model
no,rye,Central_B42_grain,-0.8509117933310884,0.34057300994096035,Inf,-2.498471013538616,0.012473034273688274,pois_out-rm
no,rye,Central_B44_grain,0.1832194753996741,0.3294958535000576,Inf,0.5560600336952103,0.5781698154804391,pois_out-rm
no,rye,Central_B44_silage,0.9454004643976592,0.31916675964418323,Inf,2.962089364981555,0.003055590845089533,pois_out-rm
no,rye,East_S_grain,0.4248158064019276,0.3756465445408628,Inf,1.1308923576580807,0.2581004003145024,pois_out-rm
no,rye,West_F_grain,0.7072865255293295,0.38089386253280066,Inf,1.8569123714048332,0.06332362217656193,pois_out-rm
no,rye,Central_B42_grain,-0.8458647334105942,0.3545169976747266,Inf,-2.3859638295444574,0.017034426368319287,pois_full
no,rye,Central_B44_grain,0.1785738735867226,0.34375834476180667,Inf,0.5194750216477162,0.6034295270755,pois_full
no,rye,Central_B44_silage,0.9454146216602759,0.3337612726632326,Inf,2.8326073127549636,0.00461700658536185,pois_full
no,rye,East_S_grain,0.42609843425931015,0.391634612660936,Inf,1.087999937912055,0.276595134943512,pois_full
no,rye,West_F_grain,0.35761031345458205,0.3579474128644985,Inf,0.9990582432005339,0.3177664776183134,pois_full
no,rye,Central_B42_grain,-0.9708293437382153,0.33744902901562,Inf,-2.8769658830260765,0.004015190039572406,binom_out-rm
no,rye,Central_B44_grain,0.2424522847869156,0.32301462894786864,Inf,0.7505922737203491,0.45289807241488156,binom_out-rm
no,rye,Central_B44_silage,1.0116371554502717,0.3121922930766133,Inf,3.2404296258588667,0.0011934972824549387,binom_out-rm
no,rye,East_S_grain,0.44287054937642945,0.3634597046181456,Inf,1.2184859662550864,0.22303935455466,binom_out-rm
no,rye,West_F_grain,0.7055465190830424,0.37274190012557573,Inf,1.8928554016743107,0.05837710156638692,binom_out-rm
no,rye,Central_B42_grain,-0.9765574909150664,0.36262133137794056,Inf,-2.6930503156121652,0.00708015832040949,binom_full
no,rye,Central_B44_grain,0.24241374083646006,0.3481554154855151,Inf,0.6962802531691357,0.4862533372181113,binom_full
no,rye,Central_B44_silage,1.012527089308589,0.33792110247728496,Inf,2.9963416959929305,0.002732400677464201,binom_full
no,rye,East_S_grain,0.4448618256541833,0.39123396228923296,Inf,1.1370736401593482,0.25550750234836933,binom_full
no,rye,West_F_grain,0.27674406854149114,0.37293782262014036,Inf,0.7420649013210217,0.4580480141273619,binom_full
