cc_trt,site_sys,rate,std.error,df,asymp.LCL,asymp.UCL,model
ccrye,Boyd_B42_grain,31.03638122256961,9.926966675289576,Inf,16.58115613257645,58.09347380187756,pois_full
no,Boyd_B42_grain,13.320117766138432,4.395764524295004,Inf,6.97595266553443,25.433879186191998,pois_full
ccrye,Boyd_B44_grain,23.312419346625756,7.434181113981056,Inf,12.47798990931433,43.55420221868048,pois_full
no,Boyd_B44_grain,27.86757058156557,8.884659887998916,Inf,14.9183724571702,52.05671679991351,pois_full
ccrye,Boyd_B44_silage,30.17845891981564,9.558531751274693,Inf,16.221571854148092,56.143719669318685,pois_full
no,Boyd_B44_silage,77.68426617047861,24.096619942143988,Inf,42.296237698874734,142.68042593789184,pois_full
ccrye,Funcke_F_grain,287.90110564101593,98.66258522518753,Inf,147.07534848909177,563.5685890315397,pois_full
no,Funcke_F_grain,411.60613175137723,140.80669512232686,Inf,210.5201006107133,804.7668949608624,pois_full
ccrye,Stout_S_grain,18.12444265239672,6.614179141630899,Inf,8.864095915970333,37.05910050772028,pois_full
no,Stout_S_grain,27.752643884382596,9.927772582271606,Inf,13.76605744741449,55.94987857020873,pois_full
