loc_sys,cc_trt,rep,h,tots,lns,equ
boyd_grain,no,1,0.9824488854836629,7,1.9459101490553132,0.5048788537130634
boyd_grain,no,2,1.2462630636294523,7,1.9459101490553132,0.6404525225558226
boyd_grain,no,3,0.8414628366719992,7,1.9459101490553132,0.4324263569314887
boyd_grain,no,4,0.8942436316591222,4,1.3862943611198906,0.6450604263705763
boyd_grain,no,5,1.3988737748267392,7,1.9459101490553132,0.7188789140679772
boyd_grain,rye,1,0.8882561311238705,7,1.9459101490553132,0.456473353384325
boyd_grain,rye,2,1.265360826295084,9,2.1972245773362196,0.5758905299653665
boyd_grain,rye,3,1.2851260910358633,6,1.791759469228055,0.7172425278653809
boyd_grain,rye,4,1.17238539731038,5,1.6094379124341003,0.7284440041164895
boyd_grain,rye,5,1.4450024126477288,6,1.791759469228055,0.8064712018908878
boyd_silage,no,1,0.8576830679437393,8,2.0794415416798357,0.4124583695922882
boyd_silage,no,2,1.5829319963014297,6,1.791759469228055,0.8834511682438075
boyd_silage,no,3,1.0191580352141054,4,1.3862943611198906,0.7351671216427648
boyd_silage,no,4,0.7418758094839193,7,1.9459101490553132,0.38124874873800313
boyd_silage,no,5,0.39344718154123404,4,1.3862943611198906,0.28381214883063904
boyd_silage,rye,1,0.7389090182907001,3,1.0986122886681098,0.6725839733565224
boyd_silage,rye,2,0.914434736773744,4,1.3862943611198906,0.6596252299800426
boyd_silage,rye,3,1.2498367981128,4,1.3862943611198906,0.9015666752789386
boyd_silage,rye,4,1.0160085311135822,5,1.6094379124341003,0.631281594191465
boyd_silage,rye,5,0.6929081757318398,3,1.0986122886681098,0.6307122020015625
funcke_grain,no,1,0.022152081921215285,2,0.6931471805599453,0.031958698733103356
funcke_grain,no,2,0.017475533760343245,2,0.6931471805599453,0.025211865892934858
funcke_grain,no,3,0.014183195474810515,2,0.6931471805599453,0.020462025775467917
funcke_grain,no,4,-0,1,0,0
funcke_grain,rye,1,0.13944908454149058,3,1.0986122886681098,0.12693202686686683
funcke_grain,rye,2,0.025559460044411432,2,0.6931471805599453,0.03687450625387198
funcke_grain,rye,3,0.11321733628053117,4,1.3862943611198906,0.08166904479729022
funcke_grain,rye,4,0.054597615828958314,5,1.6094379124341003,0.033923406058196645
stout_grain,no,1,0.2337916587064593,2,0.6931471805599453,0.3372900666170139
stout_grain,no,2,0.6870920273799714,3,1.0986122886681098,0.6254181156238109
stout_grain,no,3,0.07005432422378795,3,1.0986122886681098,0.06376619390332645
stout_grain,no,4,0.25409251585662,2,0.6931471805599453,0.366578012553346
stout_grain,rye,1,0.657598949867696,4,1.3862943611198906,0.47435737193395755
stout_grain,rye,2,0.410116318288409,2,0.6931471805599453,0.5916727785823274
stout_grain,rye,3,0.2217542804479465,3,1.0986122886681098,0.20184944473612962
stout_grain,rye,4,0.30828139607685107,4,1.3862943611198906,0.2223780206591997
