loc,cropsys,cc_trt,rep,totseeds_m2
boyd,grain,no,1,2397.467700651537
boyd,grain,no,2,1754.24465901332
boyd,grain,no,3,1442.3789418553965
boyd,grain,no,4,994.0719734408813
boyd,grain,no,5,662.7146489605875
boyd,grain,rye,1,2982.2159203226443
boyd,grain,rye,2,2300.0096640396864
boyd,grain,rye,3,838.1391148619196
boyd,grain,rye,4,1617.8034077567283
boyd,grain,rye,5,604.2398269934769
boyd,silage,no,1,5145.784333105738
boyd,silage,no,2,974.5803661185112
boyd,silage,no,3,565.2566123487364
boyd,silage,no,4,1988.1439468817628
boyd,silage,no,5,2806.7914544213118
boyd,silage,rye,1,2085.6019834936137
boyd,silage,rye,2,1013.5635807632515
boyd,silage,rye,3,428.8153610921449
boyd,silage,rye,4,272.8825025131831
boyd,silage,rye,5,506.7817903816258
funcke,grain,no,1,5847.4821967110665
funcke,grain,no,2,7796.642928948088
funcke,grain,no,3,9862.753305119333
funcke,grain,no,4,9258.513478125855
funcke,grain,rye,1,2826.2830617436825
funcke,grain,rye,2,4989.851474526777
funcke,grain,rye,3,4132.220752342487
funcke,grain,rye,4,16938.206763139722
stout,grain,no,1,935.5971514737706
stout,grain,no,2,253.3908951908129
stout,grain,no,3,3430.522888737159
stout,grain,no,4,1111.0216173751026
stout,grain,rye,1,545.7650050263662
stout,grain,rye,2,136.44125125659156
stout,grain,rye,3,1227.971261309324
stout,grain,rye,4,1461.8705491777666
