site_name,sys_trt,crop_2019,cc_trt,rep,repID,totseeds,totseeds_m2
Boyd42,grain,soy,no,1,Bgs_1,48,935.5971514737707
Boyd42,grain,soy,no,2,Bgs_2,12,233.89928786844266
Boyd42,grain,soy,no,3,Bgs_3,9,175.42446590133198
Boyd42,grain,soy,no,4,Bgs_4,7,136.44125125659156
Boyd42,grain,soy,no,5,Bgs_5,26,506.78179038162574
Boyd42,grain,soy,rye,1,Bgs_1,116,2261.0264493949458
Boyd42,grain,soy,rye,2,Bgs_2,79,1539.8369784672477
Boyd42,grain,soy,rye,3,Bgs_3,7,136.44125125659156
Boyd42,grain,soy,rye,4,Bgs_4,29,565.2566123487364
Boyd42,grain,soy,rye,5,Bgs_5,12,233.89928786844266
Boyd44,grain,corn,no,1,Bgc_1,75,1461.8705491777666
Boyd44,grain,corn,no,2,Bgc_2,78,1520.3453711448772
Boyd44,grain,corn,no,3,Bgc_3,65,1266.9544759540643
Boyd44,grain,corn,no,4,Bgc_4,44,857.6307221842898
Boyd44,grain,corn,no,5,Bgc_5,8,155.93285857896177
Boyd44,grain,corn,rye,1,Bgc_1,37,721.1894709276982
Boyd44,grain,corn,rye,2,Bgc_2,39,760.1726855724387
Boyd44,grain,corn,rye,3,Bgc_3,36,701.6978636053279
Boyd44,grain,corn,rye,4,Bgc_4,54,1052.546795407992
Boyd44,grain,corn,rye,5,Bgc_5,19,370.34053912503424
Boyd44,silage,corn,no,1,Bsc_1,264,5145.784333105738
Boyd44,silage,corn,no,2,Bsc_2,50,974.5803661185112
Boyd44,silage,corn,no,3,Bsc_3,29,565.2566123487364
Boyd44,silage,corn,no,4,Bsc_4,102,1988.1439468817628
Boyd44,silage,corn,no,5,Bsc_5,144,2806.7914544213118
Boyd44,silage,corn,rye,1,Bsc_1,107,2085.6019834936137
Boyd44,silage,corn,rye,2,Bsc_2,52,1013.5635807632515
Boyd44,silage,corn,rye,3,Bsc_3,22,428.8153610921449
Boyd44,silage,corn,rye,4,Bsc_4,14,272.8825025131831
Boyd44,silage,corn,rye,5,Bsc_5,26,506.7817903816258
Funcke,grain,corn,no,1,Fgc_1,300,5847.4821967110665
Funcke,grain,corn,no,2,Fgc_2,400,7796.642928948088
Funcke,grain,corn,no,3,Fgc_3,506,9862.753305119333
Funcke,grain,corn,no,4,Fgc_4,475,9258.513478125855
Funcke,grain,corn,rye,1,Fgc_1,145,2826.2830617436825
Funcke,grain,corn,rye,2,Fgc_2,256,4989.851474526777
Funcke,grain,corn,rye,3,Fgc_3,212,4132.220752342487
Funcke,grain,corn,rye,4,Fgc_4,869,16938.206763139722
Stout,grain,soy,no,1,Sgs_1,47,916.1055441514004
Stout,grain,soy,no,2,Sgs_2,13,253.3908951908129
Stout,grain,soy,no,3,Sgs_3,174,3391.5396740924184
Stout,grain,soy,no,4,Sgs_4,57,1111.0216173751026
Stout,grain,soy,rye,1,Sgs_1,26,506.78179038162574
Stout,grain,soy,rye,2,Sgs_2,7,136.44125125659156
Stout,grain,soy,rye,3,Sgs_3,62,1208.4796539869537
Stout,grain,soy,rye,4,Sgs_4,73,1422.8873345330262
Stout,grain,NA,no,1,SgNA_1,1,19.49160732237022
Stout,grain,NA,no,3,SgNA_3,2,38.98321464474044
Stout,grain,NA,rye,1,SgNA_1,2,38.98321464474044
Stout,grain,NA,rye,3,SgNA_3,1,19.49160732237022
Stout,grain,NA,rye,4,SgNA_4,2,38.98321464474044
